CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,endo_per_cm2,chla_ug_cm2,mean_tissue_biomass,GP,R,pH_mean,DOC_mean
106,D,Coral_Dom,7,0.8948912403024328,3.339377701907779,20.85993567138538,3.626419516741998,1.1871768604712007,8.040484016124932,120.077097918
108,F,Rubble_Dom,12,0.6214440215257951,2.7225799858263775,15.87420039062043,2.5236171208395857,1.1066834437857913,8.05987093476518,129.195564507
110,K,Rubble_Dom,5,NA,3.129917434832939,NA,2.7594428871043055,1.0167558297428214,8.031325593128724,109.344693877
111,A,Rubble_Dom,10,0.40180290545056446,1.52660317142497,8.318900733966139,3.0707551601971046,1.3351815946290195,8.056944066354125,118.073467815
113,C,Rubble_Dom,2,0.5824038757405864,2.0216554685768027,21.367773493656607,3.315534722841444,1.2581801608238103,8.039721699120623,154.67587669875002
114,S,Algae_Dom,1,0.10092488248944397,2.180195921678686,4.333254090779632,3.3525213192730208,1.482766549131345,8.039743713602704,162.42704423
115,W,Coral_Dom,6,0.6491508514594875,4.596586003151221,19.80354064699895,3.80974762700241,1.504873730129613,8.044577585126033,115.650420031
117,J,Rubble_Dom,2,0.8299672292557859,4.116595838271655,21.02846503260899,4.066577545108938,1.3384266909179687,8.039721699120623,154.67587669875002
118,N,Algae_Dom,4,0.2422196046513842,1.57984452752046,13.412410604277554,2.0740720663737457,2.246314341530684,8.060288888668053,180.91056307
123,S,Control,8,0.5765620668144413,3.3873536396826465,12.565304064194686,3.0811853513359972,1.0775639130489674,8.043899387464494,160.66979863
125,T,Control,8,0.7397565259038891,4.323205375986267,14.326154784444476,3.007119947647737,1.1309128744645691,8.043899387464494,160.66979863
127,P,Rubble_Dom,2,0.6838126004871964,2.95371412798836,5.313499650894036,3.5071397018664876,1.185209185191424,8.039721699120623,154.67587669875002
128,R,Algae_Dom,13,0.40743831565540867,1.895105632381887,8.2871423173845,1.9580458694598344,0.526050988,8.05405603436128,114.140655155
134,U,Control,11,0.4784352027560808,2.361721476746807,15.810009242066725,2.0950293303709904,1.046802541514413,8.044242640025107,141.673604927
135,P,Algae_Dom,13,0.4620459448541008,4.294169878025904,11.348271503437294,5.3165256059397175,1.678474370260134,8.05405603436128,114.140655155
136,S,Coral_Dom,16,0.7929623806534956,3.674350828845336,15.562585820859768,4.959414059950634,1.1831960360173008,8.032965104067214,116.58651436638888
137,P,Coral_Dom,9,0.22054679460955004,2.0311228243595374,22.768791559878466,2.0773064247126465,1.0033845311274592,8.052154246251016,124.865744715
138,R,Coral_Dom,16,0.2580409626445415,2.199160922123357,9.377638418077971,2.437578365335366,1.1753786990252422,8.032965104067214,116.58651436638888
139,T,Rubble_Dom,12,0.7951921394533169,3.714336400282647,8.853542433556182,3.2993763391042874,1.066448780812557,8.05987093476518,129.195564507
140,V,Coral_Dom,9,0.433388951094289,2.830034036875477,16.07892798009634,3.5432478798260005,1.2836147251661023,8.052154246251016,124.865744715
141,T,Algae_Dom,4,0.5820894969639387,4.2612492131869715,21.22765856401701,2.9780830928210422,0.9450860676112376,8.060288888668053,180.91056307
143,Q,Rubble_Dom,5,NA,NA,NA,NA,NA,8.031325593128724,109.344693877
145,D,Rubble_Dom,5,0.4341515087677866,2.679858991677742,22.524848710174417,1.1054089800213909,0.9903103144762132,8.031325593128724,109.344693877
146,O,Control,11,0.14447285724703832,2.0340150497504697,6.828894242206795,2.1741330669477676,0.5559790044760279,8.044242640025107,141.673604927
147,H,Coral_Dom,6,0.29562401554933765,1.294864131227225,7.0325275287289895,1.6706385913526776,0.5013019254508548,8.044577585126033,115.650420031
148,O,Coral_Dom,6,NA,1.5809009261231337,NA,NA,1.112624577107611,8.044577585126033,115.650420031
