TANK_NUM,DATE,TIME,TREATMENT,NPOC_uM,DATETIME
8,20240620,21:00:00,Control,84.02368999,2024-06-20T21:00:00Z
9,20240620,21:00:00,Coral_Dom,76.09742424,2024-06-20T21:00:00Z
10,20240620,21:00:00,Rubble_Dom,84.5648741,2024-06-20T21:00:00Z
11,20240620,21:00:00,Control,149.8400038,2024-06-20T21:00:00Z
12,20240620,21:00:00,Rubble_Dom,206.4561877,2024-06-20T21:00:00Z
13,20240620,21:00:00,Algae_Dom,86.64635145,2024-06-20T21:00:00Z
14,20240620,21:00:00,Algae_Dom,137.600917,2024-06-20T21:00:00Z
15,20240620,21:00:00,Control,92.8907835,2024-06-20T21:00:00Z
16,20240620,21:00:00,Coral_Dom,94.38944719,2024-06-20T21:00:00Z
Inflow1,20240620,12:00:00,Inflow,104.5470567,2024-06-20T12:00:00Z
Inflow2,20240620,12:00:00,Inflow,99.05195645,2024-06-20T12:00:00Z
1,20240620,12:00:00,Algae_Dom,124.5292392,2024-06-20T12:00:00Z
2,20240620,12:00:00,Rubble_Dom,97.05373819,2024-06-20T12:00:00Z
3,20240620,12:00:00,Control,102.5488384,2024-06-20T12:00:00Z
4,20240620,12:00:00,Algae_Dom,191.8858462,2024-06-20T12:00:00Z
5,20240620,12:00:00,Rubble_Dom,90.89256524,2024-06-20T12:00:00Z
6,20240620,12:00:00,Coral_Dom,105.2963885,2024-06-20T12:00:00Z
7,20240620,12:00:00,Coral_Dom,180.9789049,2024-06-20T12:00:00Z
8,20240620,12:00:00,Control,101.7162475,2024-06-20T12:00:00Z
9,20240620,12:00:00,Coral_Dom,91.55447504,2024-06-20T12:00:00Z
10,20240620,12:00:00,Rubble_Dom,103.96008,2024-06-20T12:00:00Z
11,20240620,12:00:00,Control,112.1194712,2024-06-20T12:00:00Z
12,20240620,12:00:00,Rubble_Dom,101.3790481,2024-06-20T12:00:00Z
13,20240620,12:00:00,Algae_Dom,77.83337635,2024-06-20T12:00:00Z
14,20240620,12:00:00,Algae_Dom,114.2842077,2024-06-20T12:00:00Z
15,20240620,12:00:00,Control,375.8010219,2024-06-20T12:00:00Z
16,20240620,12:00:00,Coral_Dom,88.89018403,2024-06-20T12:00:00Z
C1,20240626,14:00:00,Algae_Dom,159.1608593,2024-06-26T14:00:00Z
C2,20240626,14:00:00,Algae_Dom,126.5232945,2024-06-26T14:00:00Z
C3,20240626,14:00:00,Rubble_Dom,184.3051057,2024-06-26T14:00:00Z
C4,20240626,14:00:00,Rubble_Dom,130.1866946,2024-06-26T14:00:00Z
C5,20240626,14:00:00,Control,99.29757078,2024-06-26T14:00:00Z
C6,20240626,14:00:00,Control,98.63149803,2024-06-26T14:00:00Z
C7,20240626,14:00:00,Algae_Dom,157.9119729,2024-06-26T14:00:00Z
C8,20240626,14:00:00,Algae_Dom,91.80425232,2024-06-26T14:00:00Z
C9,20240626,14:00:00,Rubble_Dom,96.71653886,2024-06-26T14:00:00Z
C10,20240626,14:00:00,Rubble_Dom,101.9618618,2024-06-26T14:00:00Z
C11,20240626,14:00:00,Coral_Dom,89.38973859,2024-06-26T14:00:00Z
C12,20240626,14:00:00,Coral_Dom,94.71832061,2024-06-26T14:00:00Z
C13,20240626,14:00:00,Coral_Dom,175.3131236,2024-06-26T14:00:00Z
C14,20240626,14:00:00,Coral_Dom,104.4596346,2024-06-26T14:00:00Z
C15,20240626,14:00:00,Control,125.2744081,2024-06-26T14:00:00Z
C16,20240626,14:00:00,Control,226.4342073,2024-06-26T14:00:00Z
